Factura electrónica;;;;;;;;;;;;;;;;;;;;;;;;
Generado a las 08:21hs del 1/28/2026;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
ptovta;factura;cae;fechafc;caja;cajanom;fecha;cliente;bimp;iva;importe;efectivo;merpag;tarjetas;otros;noche;hora;ticket;orden;ndoc;tdoc;id;estado;tipo;tcom
19;1752;86041240985632;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;24793,39;5206,61;30000;0;0;30000;0;SA24/01/2026;02:26;4563;4558;0;99;bVQzcWlObVRyUC9yNm5nWEl0a3o4LzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1753;86041240998646;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;24793,39;5206,61;30000;0;0;30000;0;SA24/01/2026;02:27;4564;4559;0;99;d2tQYWV3NEl2Q0RJbEJldEdYdGxzdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1754;86041241012165;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;33057,85;6942,15;40000;0;0;40000;0;SA24/01/2026;02:28;4565;4560;0;99;THFHbUp2dzZ5KzlHYW1ReStyYS9uLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1755;86041241021099;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;24793,39;5206,61;30000;0;0;30000;0;SA24/01/2026;02:28;4566;4561;0;99;ZWpDbXQvbEF2VkpqcURxdzVlVUhBdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1756;86041241032496;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:29;4567;4562;0;99;d093OW84b0pJM0prK2psNEMwUEFZZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1757;86041241045573;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:30;4568;4563;0;99;QkRURGNYOWhENFpvSXpaTFBHZTZWdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1758;86041241281986;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:45;4569;4564;0;99;NDRxTzVCZ2ZFU3hvaEVCd2xjV0tyZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1759;86041241290001;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;8264,46;1735,54;10000;0;0;10000;0;SA24/01/2026;02:46;4570;4565;0;99;bFN2bkErNjZoWEg3MVB3eWdBb3dQLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1760;86041241299440;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;49586,78;10413,22;60000;0;0;60000;0;SA24/01/2026;02:47;4571;4566;0;99;emxnbExxbXpiMnVJSkkrY0pEdy9WUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1761;86041241309709;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:47;4572;4567;0;99;VWtTdGFPaFNRQ09RUFB4OGhJSi9nLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1762;86041241316380;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;24793,39;5206,61;30000;0;0;30000;0;SA24/01/2026;02:48;4573;4568;0;99;N3NnNzQ4eUxXMFk5S3dnbVBBeEVqLzlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1763;86041241325007;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;24793,39;5206,61;30000;0;0;30000;0;SA24/01/2026;02:49;4574;4569;0;99;YXNFbGpOMU81US9ac3l3SDM5azI5UDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1764;86041241334724;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:49;4575;4570;0;99;eFRkcGJhUEVYM21wMktyeHhWdGdSZjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1765;86041241343852;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:50;4576;4571;0;99;WlduUE52MjUwN2hvVjBpZjBpS2VvUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1766;86041241355763;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;33057,85;6942,15;40000;0;0;40000;0;SA24/01/2026;02:51;4577;4572;0;99;dWFKSDN3dnp5eGhPbWg0eDRCajd4djlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1767;86041241363243;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:51;4578;4573;0;99;TGw5MERPKzBlN3IweEtrQVozWFdjUDlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
19;1768;86041241370748;2026-01-25;01;BOLETERIA  GENERAL 1;2026-01-25;A Consumidor Final;16528,93;3471,07;20000;0;0;20000;0;SA24/01/2026;02:52;4579;4574;0;99;UkpxZXVHb3d0RXkyRVh2cU1nSHRKdjlSWThqN01vSEc2WFE2NHhRMDdqVT0=;aprobado;Boleterias;Factura B
